S1 ,S2 ,S3 ,S4 ,S5 ,S6 ,S7 ,S8 ,S9 ,S10,S11,S12,S13,S14,S15
10,1,6,5,5,7,11,1,7,5,5,7,11,1,7
9,3,13,2,0,14,2,3,7,2,0,14,2,3,7
13,9,13,2,2,0,12,1,1,2,2,0,12,1,1
16,5,3,3,5,1,9,2,9,3,5,1,9,2,9
16,8,3,4,7,1,8,1,5,4,7,1,8,1,5
17,16,5,1,3,3,6,0,2,1,3,3,6,0,2
3,4,11,2,2,20,1,8,2,2,2,20,1,8,2
12,16,3,3,0,3,9,1,6,3,0,3,9,1,6
30,2,2,4,4,1,4,1,5,4,4,1,4,1,5
15,9,2,2,5,3,9,3,5,2,5,3,9,3,5
17,5,6,6,3,2,8,1,5,6,3,2,8,1,5
16,6,7,6,2,0,10,1,5,6,2,0,10,1,5
19,3,8,1,3,1,11,3,4,1,3,1,11,3,4
43,0,2,1,2,2,0,3,0,1,2,2,0,3,0
3,42,1,3,0,0,2,0,2,3,0,0,2,0,2
17,4,12,5,3,6,1,1,4,5,3,6,1,1,4
9,10,6,4,5,2,8,3,6,4,5,2,8,3,6
18,8,3,5,5,2,9,1,2,5,5,2,9,1,2
11,12,4,6,5,3,6,1,5,6,5,3,6,1,5
10,16,4,2,5,4,7,1,4,2,5,4,7,1,4
15,10,3,2,5,3,10,1,4,2,5,3,10,1,4
21,2,9,3,4,4,4,2,4,3,4,4,4,2,4
14,5,7,3,2,4,10,1,7,3,2,4,10,1,7
16,5,9,3,3,1,10,1,5,3,3,1,10,1,5
12,5,7,5,3,3,13,1,4,5,3,3,13,1,4
15,12,6,2,3,2,7,0,6,2,3,2,7,0,6
16,9,2,4,5,1,8,1,7,4,5,1,8,1,7
13,6,2,7,5,4,9,1,6,7,5,4,9,1,6
2,4,14,0,3,18,0,10,2,0,3,18,0,10,2
