"d_nutr","d_cm","d_satt","d_educ","d_elct","d_sani","d_wtr","d_hsg","d_ckfl","d_asst","area","region","stratum","psu","weight","year","t"
0,0,1,0,0,0,0,1,0,0,"1","4",401,401000,1,2010,1
0,0,0,0,1,0,0,1,1,1,"1","1",104,104003,1,2010,1
0,0,0,0,1,0,0,0,0,0,"1","20",2002,2002005,1,2010,1
0,0,0,0,0,0,0,1,0,0,"1","20",2004,2004002,1,2010,1
0,0,1,0,1,0,0,1,0,0,"1","18",1805,1805000,1,2010,1
0,0,1,0,1,1,0,1,0,1,"0","18",1803,1803001,1,2010,1
1,0,0,1,0,0,0,0,0,0,"1","16",1601,1601000,1,2010,1
0,0,1,0,1,0,1,1,0,1,"0","2",204,204002,1,2010,1
0,0,0,0,0,1,0,1,0,1,"0","5",500,500002,1,2010,1
1,0,0,1,1,1,0,1,1,0,"1","16",1601,1601003,1,2010,1
0,0,0,0,1,1,0,0,0,0,"1","15",1502,1502002,1,2010,1
1,0,0,0,0,0,0,1,0,0,"0","4",401,401001,1,2010,1
0,0,0,0,1,1,0,0,0,1,"1","10",1003,1003003,1,2010,1
0,0,1,0,0,0,0,0,0,0,"0","9",900,900005,1,2010,1
0,0,1,1,1,0,0,0,0,0,"0","13",1301,1301005,1,2010,1
0,0,0,1,0,1,0,0,0,1,"0","6",604,604003,1,2010,1
0,0,1,0,1,0,0,0,0,1,"1","2",205,205003,1,2010,1
0,0,0,0,1,0,0,0,0,0,"1","17",1700,1700001,1,2010,1
0,0,1,0,1,0,0,1,0,0,"0","3",301,301004,1,2010,1
0,0,1,0,0,0,1,1,1,0,"1","13",1303,1303002,1,2010,1
1,0,0,0,0,0,0,1,0,1,"1","11",1101,1101005,1,2010,1
1,0,0,0,1,0,1,0,0,0,"1","14",1404,1404003,1,2010,1
1,0,0,0,0,1,0,1,0,0,"1","5",502,502003,1,2010,1
0,0,1,0,0,0,0,1,0,1,"1","4",401,401001,1,2010,1
0,0,0,1,1,0,1,0,0,1,"1","6",604,604001,1,2010,1
0,0,1,0,1,1,0,1,0,1,"1","13",1300,1300002,1,2010,1
0,0,0,0,0,1,0,0,0,0,"1","9",900,900003,1,2010,1
0,0,0,0,0,0,1,0,0,0,"1","4",400,4e+05,1,2010,1
0,0,0,0,0,0,1,1,0,0,"1","16",1602,1602004,1,2010,1
0,1,0,1,0,0,1,1,0,0,"1","7",703,703001,1,2010,1
0,0,0,1,0,0,0,0,1,0,"0","2",201,201000,1,2010,1
0,0,0,0,0,1,0,0,0,0,"1","20",2001,2001001,1,2010,1
0,0,0,0,1,0,1,1,0,1,"1","12",1204,1204004,1,2010,1
1,0,0,0,1,0,1,1,0,0,"1","11",1101,1101002,1,2010,1
0,0,1,1,0,0,1,0,0,0,"1","4",402,402000,1,2010,1
1,0,0,1,1,0,1,0,0,1,"1","14",1402,1402004,1,2010,1
0,0,1,0,0,0,0,1,0,1,"0","9",902,902001,1,2010,1
0,0,0,0,0,0,0,1,0,0,"1","6",602,602000,1,2010,1
0,0,1,1,0,1,1,0,0,0,"0","12",1202,1202003,1,2010,1
0,0,1,0,0,1,0,0,1,0,"1","14",1402,1402002,1,2010,1
0,0,0,0,0,1,0,1,0,1,"0","2",200,200001,1,2010,1
0,0,0,1,0,0,0,0,0,0,"1","18",1801,1801002,1,2010,1
0,0,0,1,0,1,1,0,0,0,"0","11",1105,1105003,1,2010,1
0,0,1,0,0,1,1,0,0,1,"0","19",1904,1904002,1,2010,1
0,0,0,0,1,0,0,1,0,0,"1","15",1502,1502004,1,2010,1
0,0,0,0,0,0,0,0,0,1,"1","16",1604,1604003,1,2010,1
1,0,0,0,1,0,0,0,0,0,"1","1",104,104003,1,2010,1
1,0,0,0,0,0,0,0,0,0,"1","17",1703,1703004,1,2010,1
0,0,0,0,0,0,0,0,1,0,"0","10",1005,1005003,1,2010,1
0,0,0,0,0,0,1,1,0,0,"1","17",1703,1703001,1,2010,1
0,0,0,0,0,0,0,0,0,1,"1","20",2001,2001005,1,2010,1
1,0,0,0,0,0,0,0,0,1,"1","12",1203,1203002,1,2010,1
0,0,0,0,0,0,0,0,0,0,"1","6",602,602005,1,2010,1
0,0,0,0,1,0,0,1,0,0,"1","1",102,102003,1,2010,1
0,0,1,0,1,0,0,0,1,0,"0","2",201,201001,1,2010,1
1,0,0,0,0,0,0,1,0,0,"1","19",1900,1900002,1,2010,1
0,0,0,1,0,0,1,0,0,1,"0","20",2003,2003001,1,2010,1
0,0,1,1,0,0,0,1,0,0,"0","9",900,9e+05,1,2010,1
1,0,1,0,1,1,0,0,0,0,"1","5",501,501003,1,2010,1
1,0,1,1,0,1,0,0,0,0,"0","9",902,902001,1,2010,1
0,0,0,0,0,0,0,0,0,0,"1","8",800,800003,1,2010,1
1,0,1,0,0,0,0,1,0,0,"1","19",1901,1901004,1,2010,1
0,0,1,0,1,0,1,1,0,0,"1","14",1402,1402001,1,2010,1
0,0,1,0,0,0,0,0,0,0,"0","10",1000,1000001,1,2010,1
0,0,1,1,0,0,0,1,1,0,"1","7",704,704001,1,2010,1
0,0,1,0,0,0,1,1,0,0,"1","6",602,602004,1,2010,1
1,0,0,1,1,0,0,0,0,0,"1","11",1104,1104004,1,2010,1
0,0,0,0,0,0,0,0,0,0,"0","10",1004,1004003,1,2010,1
0,0,1,0,0,0,0,1,0,0,"0","19",1901,1901004,1,2010,1
0,0,1,0,0,1,0,1,0,0,"1","2",205,205001,1,2010,1
0,0,1,1,1,0,1,0,0,0,"1","11",1100,1100003,1,2010,1
0,0,1,0,0,0,0,1,0,1,"1","3",305,305004,1,2010,1
1,0,0,0,0,1,0,0,0,0,"0","14",1405,1405000,1,2010,1
0,0,0,0,0,0,0,0,0,0,"1","8",801,801004,1,2010,1
0,0,1,1,0,0,0,1,0,0,"0","6",601,601000,1,2010,1
0,0,0,0,1,0,0,1,1,0,"0","20",2003,2003000,1,2010,1
1,0,0,1,0,1,0,0,0,0,"0","8",802,802000,1,2010,1
1,0,0,0,1,0,0,1,0,0,"0","4",404,404001,1,2010,1
0,0,1,0,0,0,1,1,0,0,"0","12",1202,1202003,1,2010,1
0,0,0,1,1,0,1,0,0,1,"0","17",1702,1702004,1,2010,1
1,0,0,0,1,0,0,1,0,0,"1","7",703,703003,1,2010,1
0,0,0,1,1,1,0,0,0,0,"1","14",1404,1404003,1,2010,1
0,0,1,0,0,0,0,0,0,0,"1","18",1803,1803000,1,2010,1
0,0,0,0,0,0,0,0,0,0,"1","9",901,901003,1,2010,1
0,0,0,0,0,1,0,1,0,1,"1","6",602,602000,1,2010,1
0,0,0,0,0,0,1,0,0,0,"0","16",1600,1600004,1,2010,1
0,0,0,0,0,1,0,0,0,0,"0","5",504,504002,1,2010,1
0,0,1,0,1,1,0,1,0,0,"1","15",1503,1503002,1,2010,1
0,0,1,0,0,0,0,0,0,1,"0","3",302,302002,1,2010,1
0,0,1,1,0,0,0,1,0,0,"1","3",300,300001,1,2010,1
0,0,0,1,1,0,0,0,1,0,"1","13",1302,1302003,1,2010,1
0,0,0,0,1,0,0,0,0,1,"1","18",1805,1805000,1,2010,1
0,0,0,0,0,0,0,0,0,0,"1","15",1504,1504001,1,2010,1
0,0,0,0,1,0,1,0,1,0,"1","4",405,405004,1,2010,1
0,0,0,0,1,0,0,0,1,0,"0","11",1105,1105001,1,2010,1
0,0,0,0,0,0,1,0,0,0,"1","15",1504,1504005,1,2010,1
0,0,1,0,0,0,0,1,0,0,"1","8",803,803003,1,2010,1
0,0,1,1,1,0,0,0,0,1,"1","19",1904,1904004,1,2010,1
1,0,0,0,0,0,1,1,0,0,"1","12",1204,1204004,1,2010,1
1,0,1,0,0,0,0,0,0,0,"1","8",801,801001,1,2010,1
0,1,1,0,1,0,1,0,1,1,"1","2",204,204003,1,2010,1
0,0,0,1,1,0,1,0,1,1,"1","1",101,101001,1,2010,1
0,0,0,0,0,0,0,0,0,1,"0","2",203,203002,1,2010,1
0,0,1,1,1,0,1,0,0,0,"1","11",1100,1100003,1,2010,1
0,0,1,0,1,0,0,0,0,0,"0","20",2004,2004002,1,2010,1
0,0,1,0,0,0,0,0,0,0,"1","10",1002,1002000,1,2010,1
0,0,1,1,1,0,1,1,0,0,"0","6",603,603002,1,2010,1
0,1,0,1,1,0,0,1,0,0,"0","19",1902,1902001,1,2010,1
0,0,1,0,0,0,0,1,0,0,"0","14",1402,1402004,1,2010,1
0,0,0,1,1,0,0,1,0,0,"1","1",104,104003,1,2010,1
0,1,0,1,1,0,0,0,0,0,"0","20",2000,2000004,1,2010,1
1,0,0,0,1,1,1,1,0,1,"1","13",1305,1305002,1,2010,1
0,0,0,0,0,0,0,1,0,0,"1","9",904,904005,1,2010,1
0,0,1,1,1,0,0,1,0,1,"1","1",104,104004,1,2010,1
0,0,1,0,0,0,0,0,0,0,"1","11",1101,1101002,1,2010,1
0,0,1,0,0,0,1,0,0,1,"1","16",1605,1605005,1,2010,1
1,0,1,0,0,0,0,0,0,0,"0","7",704,704004,1,2010,1
0,0,1,1,1,0,0,1,0,0,"0","16",1605,1605005,1,2010,1
0,0,0,0,0,0,0,1,0,0,"0","8",803,803003,1,2010,1
0,0,0,0,1,0,0,0,0,0,"0","17",1703,1703001,1,2010,1
1,0,0,0,1,0,1,1,0,0,"1","6",602,602001,1,2010,1
0,0,1,1,1,0,0,1,0,1,"1","15",1504,1504001,1,2010,1
0,0,0,1,0,0,0,1,1,0,"1","16",1604,1604001,1,2010,1
0,0,1,0,1,0,1,0,0,0,"1","10",1003,1003003,1,2010,1
0,0,0,0,0,0,0,0,0,0,"1","2",201,201002,1,2010,1
0,0,0,0,0,0,0,1,0,0,"1","16",1603,1603004,1,2010,1
0,0,0,0,0,0,0,0,0,0,"1","19",1904,1904004,1,2010,1
0,0,0,1,0,0,0,0,0,0,"1","15",1501,1501005,1,2010,1
0,0,0,0,0,0,0,0,0,0,"1","1",105,105002,1,2010,1
0,0,0,0,0,0,0,0,0,1,"0","20",2002,2002004,1,2010,1
0,0,1,1,0,0,1,1,1,1,"1","7",703,703002,1,2010,1
0,0,0,0,1,0,0,0,0,0,"0","1",104,104005,1,2010,1
0,0,0,1,1,0,1,0,0,0,"1","7",701,701001,1,2010,1
0,0,1,0,0,0,1,0,0,0,"1","14",1402,1402002,1,2010,1
1,0,0,0,0,0,0,0,0,0,"0","15",1505,1505000,1,2010,1
0,0,0,1,0,0,0,1,0,0,"0","1",104,104002,1,2010,1
0,0,0,0,1,0,0,0,0,1,"1","7",703,703004,1,2010,1
0,0,0,1,1,0,1,1,0,0,"1","2",204,204001,1,2010,1
0,0,1,0,0,0,0,1,0,0,"1","9",902,902002,1,2010,1
0,0,0,0,1,0,0,1,1,1,"1","14",1401,1401004,1,2010,1
0,0,1,0,0,0,0,1,0,0,"1","9",900,900003,1,2010,1
0,0,1,0,1,0,0,0,0,0,"0","10",1004,1004005,1,2010,1
1,0,0,0,0,0,0,0,0,0,"1","12",1201,1201003,1,2010,1
0,0,1,1,1,1,1,1,0,0,"0","4",402,402005,1,2010,1
0,0,1,0,0,0,1,1,1,0,"1","3",302,302002,1,2010,1
0,0,0,0,1,0,0,1,1,1,"1","19",1900,1900000,1,2010,1
0,0,0,1,0,0,0,0,0,0,"1","11",1105,1105002,1,2010,1
0,0,0,0,0,0,0,0,0,0,"1","20",2001,2001002,1,2010,1
0,0,1,1,0,1,0,0,1,0,"0","5",503,503003,1,2010,1
0,0,0,0,1,0,0,0,0,0,"1","12",1202,1202001,1,2010,1
0,0,0,1,1,1,0,0,0,1,"1","18",1805,1805003,1,2010,1
0,0,1,0,1,0,0,1,0,1,"0","6",603,603002,1,2010,1
0,0,0,0,1,0,0,0,0,1,"0","17",1700,1700003,1,2010,1
1,0,0,0,1,1,0,0,0,0,"1","6",604,604000,1,2010,1
1,0,0,1,0,0,0,0,0,0,"1","17",1704,1704004,1,2010,1
0,0,1,0,1,0,1,1,0,1,"1","9",905,905003,1,2010,1
0,0,0,0,0,0,0,0,0,0,"1","14",1404,1404004,1,2010,1
0,0,1,1,0,1,0,1,1,0,"1","4",401,401000,1,2010,1
1,0,0,1,1,0,0,0,0,0,"1","8",802,802003,1,2010,1
0,0,1,0,1,1,0,1,0,0,"0","6",603,603004,1,2010,1
0,0,0,0,1,0,0,0,0,0,"0","6",600,600005,1,2010,1
0,0,0,0,0,1,0,1,0,0,"1","6",603,603004,1,2010,1
0,0,0,0,0,1,0,1,0,0,"0","18",1802,1802001,1,2010,1
0,0,0,1,0,1,0,1,0,0,"0","5",504,504000,1,2010,1
0,1,0,1,0,0,0,0,1,0,"0","3",301,301001,1,2010,1
0,1,0,1,0,0,0,0,1,0,"0","15",1502,1502002,1,2010,1
0,0,1,0,0,0,1,0,0,0,"1","13",1301,1301000,1,2010,1
0,0,0,1,1,1,1,1,0,1,"1","10",1003,1003005,1,2010,1
1,0,0,0,1,1,1,0,0,0,"0","8",801,801001,1,2010,1
1,0,0,0,1,0,0,1,0,0,"1","4",404,404005,1,2010,1
0,0,0,1,0,0,1,0,1,1,"0","10",1004,1004004,1,2010,1
0,0,1,1,1,1,0,0,0,0,"1","15",1501,1501004,1,2010,1
1,0,1,0,0,1,1,0,0,1,"1","12",1204,1204004,1,2010,1
1,0,1,0,1,0,0,1,0,1,"1","15",1503,1503005,1,2010,1
0,0,0,0,1,0,0,0,0,0,"1","4",404,404005,1,2010,1
1,1,1,1,1,0,0,1,0,1,"1","14",1404,1404003,1,2010,1
1,0,0,1,0,1,0,0,0,0,"1","15",1504,1504003,1,2010,1
0,0,0,0,0,1,0,1,0,0,"0","7",704,704004,1,2010,1
0,0,0,1,1,0,1,1,0,0,"1","14",1404,1404003,1,2010,1
0,0,0,0,0,0,0,1,1,1,"0","5",503,503003,1,2010,1
0,0,1,0,1,0,0,0,0,0,"1","16",1602,1602004,1,2010,1
1,0,0,0,1,0,1,0,0,1,"1","3",300,300003,1,2010,1
0,1,1,1,1,1,0,0,0,0,"1","2",202,202003,1,2010,1
0,0,0,0,0,0,0,1,0,1,"1","18",1803,1803001,1,2010,1
0,0,1,0,1,0,0,0,1,0,"0","17",1702,1702001,1,2010,1
0,0,0,1,0,0,1,0,0,0,"1","13",1302,1302005,1,2010,1
1,0,1,1,0,1,0,1,0,0,"0","7",703,703001,1,2010,1
1,0,1,0,0,0,0,0,0,0,"0","1",105,105004,1,2010,1
1,0,0,0,0,0,1,0,0,1,"1","9",902,902005,1,2010,1
1,0,1,0,0,1,0,1,0,0,"1","6",604,604001,1,2010,1
0,0,1,1,1,0,1,0,0,1,"0","14",1405,1405004,1,2010,1
0,0,0,0,1,1,0,0,0,0,"0","6",603,603005,1,2010,1
1,0,0,0,0,0,0,0,0,0,"1","19",1903,1903004,1,2010,1
0,0,0,0,0,0,0,0,0,0,"1","10",1000,1000002,1,2010,1
0,0,0,1,1,0,0,1,0,0,"0","20",2001,2001002,1,2010,1
0,0,1,0,0,1,0,1,0,0,"1","11",1103,1103002,1,2010,1
0,0,0,1,0,0,1,0,0,0,"1","16",1602,1602002,1,2010,1
0,0,1,1,1,0,0,1,1,0,"1","3",303,303003,1,2010,1
0,0,0,0,0,1,0,0,0,1,"1","17",1702,1702003,1,2010,1
0,0,1,0,0,1,1,1,0,1,"1","19",1902,1902005,1,2010,1
0,0,0,0,1,0,0,0,0,0,"1","10",1003,1003002,1,2010,1
0,0,0,0,0,0,0,1,1,0,"0","11",1103,1103005,1,2010,1
0,0,1,0,1,0,0,0,0,1,"0","8",801,801004,1,2010,1
1,0,0,1,0,0,0,1,0,0,"0","19",1902,1902003,1,2010,1
0,1,1,0,1,0,0,0,0,1,"0","5",503,503002,1,2010,1
0,0,0,0,0,0,0,0,0,0,"0","12",1202,1202003,1,2010,1
1,0,0,0,0,0,0,0,0,0,"1","7",700,700005,1,2010,1
0,0,0,0,0,1,0,0,0,0,"1","5",503,503001,1,2010,1
0,0,0,0,1,0,0,0,0,1,"0","8",804,804001,1,2010,1
0,1,0,0,0,1,1,0,0,0,"1","3",302,302002,1,2010,1
0,0,0,0,0,0,0,0,0,0,"0","11",1100,1100001,1,2010,1
0,0,1,0,0,0,1,0,1,1,"1","2",200,2e+05,1,2010,1
0,0,0,0,1,0,0,1,1,0,"1","6",604,604000,1,2010,1
0,0,1,1,0,0,0,1,0,0,"0","6",602,602001,1,2010,1
0,0,0,1,0,0,1,1,0,0,"0","4",402,402001,1,2010,1
0,0,0,1,0,1,0,0,0,1,"1","13",1303,1303004,1,2010,1
0,0,1,1,0,0,0,0,0,1,"0","4",403,403002,1,2010,1
0,0,1,0,1,0,0,0,0,1,"0","15",1500,1500001,1,2010,1
0,0,0,0,0,1,0,0,0,1,"0","3",301,301003,1,2010,1
0,0,1,1,1,0,0,1,0,0,"1","1",100,100001,1,2010,1
0,0,1,0,0,1,0,1,0,0,"1","13",1304,1304003,1,2010,1
0,0,1,0,0,0,0,0,0,0,"1","8",800,800003,1,2010,1
1,0,0,0,0,0,0,0,0,0,"1","13",1300,1300002,1,2010,1
0,0,1,0,1,0,0,1,0,0,"0","2",203,203003,1,2010,1
1,0,0,1,1,0,0,0,0,0,"1","20",2003,2003002,1,2010,1
0,0,0,1,1,0,1,1,0,0,"0","19",1904,1904003,1,2010,1
0,0,0,0,1,0,0,0,0,1,"0","14",1401,1401000,1,2010,1
0,0,1,0,0,1,0,0,0,0,"0","18",1801,1801002,1,2010,1
1,0,1,0,0,0,1,1,0,0,"1","1",102,102004,1,2010,1
0,0,0,0,1,0,0,0,0,0,"1","19",1900,1900004,1,2010,1
0,0,1,0,1,0,0,1,0,0,"0","5",502,502001,1,2010,1
0,0,0,1,0,0,0,0,0,1,"1","16",1602,1602003,1,2010,1
1,0,0,1,0,0,0,1,0,0,"0","7",703,703003,1,2010,1
1,0,0,0,0,0,0,0,0,0,"1","20",2003,2003004,1,2010,1
0,0,0,0,1,1,0,0,0,0,"1","17",1704,1704004,1,2010,1
0,0,1,0,1,0,0,0,0,0,"0","17",1704,1704002,1,2010,1
