qOutput,qLabor,land,qVarInput,time
946.1330018,1.44,23.4,556.5471304,1
962.7304848,1.45,24.2,606.63941,2
1069.579172,1.44,24.69,607.9155322,3
1171.796475,1.48,24.91,653.9602531,4
1178.116042,1.48,24.91,647.6267509,5
1185.81,1.47,25.23,656.9892,6
1239.357831,1.45,25.91,673.4591148,7
1288.560916,1.49,25.97,647.9037304,8
1207.706199,1.48,25.18,639.9773401,9
1278.408507,1.53,26.07,648.4779224,10
1360.59261,1.53,26.77,682.3779714,11
1540.784093,1.69,29.87,760.9643888,12
1575.034668,1.7,31.11,801.2621126,13
1695.959394,1.67,32.19,797.8057149,14
1644.689112,1.65,31.52,736.9826128,15
1626.031126,1.61,31.88,718.7733516,16
1655.039862,1.62,33.54,700.6962539,17
1755.599807,1.62,35.06,701.7920036,18
1887.420266,1.62,37.31,731.2554807,19
1991.894016,1.62,39.39,770.1723888,20
1941.446136,1.687,36.946,779.6818344,21
1991.768418,1.699857143,37.707,788.5011583,22
2042.090699,1.712714286,38.468,797.3204822,23
2092.412981,1.725571429,39.229,806.1398062,24
2142.735262,1.738428571,39.99,814.9591301,25
2193.057544,1.751285714,40.751,823.778454,26
2243.379826,1.764142857,41.512,832.5977779,27
2293.702107,1.777,42.273,841.4171019,28
2344.024389,1.789857143,43.034,850.2364258,29
2394.34667,1.802714286,43.795,859.0557497,30
2444.668952,1.815571429,44.556,867.8750736,31
2494.991234,1.828428571,45.317,876.6943976,32
2545.313515,1.841285714,46.078,885.5137215,33
2595.635797,1.854142857,46.839,894.3330454,34
2645.958079,1.867,47.6,903.1523693,35
2696.28036,1.879857143,48.361,911.9716933,36
2746.602642,1.892714286,49.122,920.7910172,37
2796.924923,1.905571429,49.883,929.6103411,38
2847.247205,1.918428571,50.644,938.429665,39
2897.569487,1.931285714,51.405,947.248989,40
2947.891768,1.944142857,52.166,956.0683129,41
2998.21405,1.957,52.927,964.8876368,42
3048.536331,1.969857143,53.688,973.7069607,43
3098.858613,1.982714286,54.449,982.5262847,44
3149.180895,1.995571429,55.21,991.3456086,45
3199.503176,2.008428571,55.971,1000.164933,46
3249.825458,2.021285714,56.732,1008.984256,47
3300.147739,2.034142857,57.493,1017.80358,48
3350.470021,2.047,58.254,1026.622904,49
3400.792303,2.059857143,59.015,1035.442228,50
3451.114584,2.072714286,59.776,1044.261552,51
3501.436866,2.085571429,60.537,1053.080876,52
3551.759147,2.098428571,61.298,1061.9002,53
3602.081429,2.111285714,62.059,1070.719524,54
3652.403711,2.124142857,62.82,1079.538848,55
3702.725992,2.137,63.581,1088.358172,56
3753.048274,2.149857143,64.342,1097.177496,57
3803.370555,2.162714286,65.103,1105.99682,58
3853.692837,2.175571429,65.864,1114.816144,59
3904.015119,2.188428571,66.625,1123.635467,60
3954.3374,2.201285714,67.386,1132.454791,61
4004.659682,2.214142857,68.147,1141.274115,62
4054.981963,2.227,68.908,1150.093439,63
4105.304245,2.239857143,69.669,1158.912763,64
4155.626527,2.252714286,70.43,1167.732087,65
4205.948808,2.265571429,71.191,1176.551411,66
4256.27109,2.278428571,71.952,1185.370735,67
4306.593371,2.291285714,72.713,1194.190059,68
4356.915653,2.304142857,73.474,1203.009383,69
4407.237935,2.317,74.235,1211.828707,70
4457.560216,2.329857143,74.996,1220.648031,71
4507.882498,2.342714286,75.757,1229.467355,72
4558.204779,2.355571429,76.518,1238.286679,73
4608.527061,2.368428571,77.279,1247.106002,74
4658.849343,2.381285714,78.04,1255.925326,75
4709.171624,2.394142857,78.801,1264.74465,76
4759.493906,2.407,79.562,1273.563974,77
4809.816188,2.419857143,80.323,1282.383298,78
4860.138469,2.432714286,81.084,1291.202622,79
4910.460751,2.445571429,81.845,1300.021946,80
4960.783032,2.458428571,82.606,1308.84127,81
5011.105314,2.471285714,83.367,1317.660594,82
5061.427596,2.484142857,84.128,1326.479918,83
5111.749877,2.497,84.889,1335.299242,84
5162.072159,2.509857143,85.65,1344.118566,85
5212.39444,2.522714286,86.411,1352.93789,86
5262.716722,2.535571429,87.172,1361.757213,87
5313.039004,2.548428571,87.933,1370.576537,88
5363.361285,2.561285714,88.694,1379.395861,89
5413.683567,2.574142857,89.455,1388.215185,90
5464.005848,2.587,90.216,1397.034509,91
5514.32813,2.599857143,90.977,1405.853833,92
5564.650412,2.612714286,91.738,1414.673157,93
5614.972693,2.625571429,92.499,1423.492481,94
5665.294975,2.638428571,93.26,1432.311805,95
5715.617256,2.651285714,94.021,1441.131129,96
5765.939538,2.664142857,94.782,1449.950453,97
5816.26182,2.677,95.543,1458.769777,98
5866.584101,2.689857143,96.304,1467.589101,99
5916.906383,2.702714286,97.065,1476.408424,100
5967.228664,2.715571429,97.826,1485.227748,101
6017.550946,2.728428571,98.587,1494.047072,102
6067.873228,2.741285714,99.348,1502.866396,103
6118.195509,2.754142857,100.109,1511.68572,104
6168.517791,2.767,100.87,1520.505044,105
6218.840072,2.779857143,101.631,1529.324368,106
6269.162354,2.792714286,102.392,1538.143692,107
6319.484636,2.805571429,103.153,1546.963016,108
6369.806917,2.818428571,103.914,1555.78234,109
6420.129199,2.831285714,104.675,1564.601664,110
6470.45148,2.844142857,105.436,1573.420988,111
6520.773762,2.857,106.197,1582.240312,112
6571.096044,2.869857143,106.958,1591.059636,113
6621.418325,2.882714286,107.719,1599.878959,114
6671.740607,2.895571429,108.48,1608.698283,115
6722.062888,2.908428571,109.241,1617.517607,116
6772.38517,2.921285714,110.002,1626.336931,117
6822.707452,2.934142857,110.763,1635.156255,118
6873.029733,2.947,111.524,1643.975579,119
6923.352015,2.959857143,112.285,1652.794903,120
6973.674297,2.972714286,113.046,1661.614227,121
7023.996578,2.985571429,113.807,1670.433551,122
7074.31886,2.998428571,114.568,1679.252875,123
7124.641141,3.011285714,115.329,1688.072199,124
7174.963423,3.024142857,116.09,1696.891523,125
7225.285705,3.037,116.851,1705.710847,126
7275.607986,3.049857143,117.612,1714.53017,127
7325.930268,3.062714286,118.373,1723.349494,128
7376.252549,3.075571429,119.134,1732.168818,129
7426.574831,3.088428571,119.895,1740.988142,130
7476.897113,3.101285714,120.656,1749.807466,131
7527.219394,3.114142857,121.417,1758.62679,132
7577.541676,3.127,122.178,1767.446114,133
7627.863957,3.139857143,122.939,1776.265438,134
7678.186239,3.152714286,123.7,1785.084762,135
7728.508521,3.165571429,124.461,1793.904086,136
7778.830802,3.178428571,125.222,1802.72341,137
7829.153084,3.191285714,125.983,1811.542734,138
7879.475365,3.204142857,126.744,1820.362058,139
7929.797647,3.217,127.505,1829.181382,140
7980.119929,3.229857143,128.266,1838.000705,141
8030.44221,3.242714286,129.027,1846.820029,142
8080.764492,3.255571429,129.788,1855.639353,143
8131.086773,3.268428571,130.549,1864.458677,144
8181.409055,3.281285714,131.31,1873.278001,145
8231.731337,3.294142857,132.071,1882.097325,146
8282.053618,3.307,132.832,1890.916649,147
8332.3759,3.319857143,133.593,1899.735973,148
8382.698181,3.332714286,134.354,1908.555297,149
8433.020463,3.345571429,135.115,1917.374621,150
8483.342745,3.358428571,135.876,1926.193945,151
8533.665026,3.371285714,136.637,1935.013269,152
8583.987308,3.384142857,137.398,1943.832593,153
8634.309589,3.397,138.159,1952.651916,154
8684.631871,3.409857143,138.92,1961.47124,155
8734.954153,3.422714286,139.681,1970.290564,156
8785.276434,3.435571429,140.442,1979.109888,157
8835.598716,3.448428571,141.203,1987.929212,158
8885.920997,3.461285714,141.964,1996.748536,159
8936.243279,3.474142857,142.725,2005.56786,160
8986.565561,3.487,143.486,2014.387184,161
9036.887842,3.499857143,144.247,2023.206508,162
9087.210124,3.512714286,145.008,2032.025832,163
9137.532405,3.525571429,145.769,2040.845156,164
9187.854687,3.538428571,146.53,2049.66448,165
9238.176969,3.551285714,147.291,2058.483804,166
9288.49925,3.564142857,148.052,2067.303127,167
9338.821532,3.577,148.813,2076.122451,168
9389.143814,3.589857143,149.574,2084.941775,169
9439.466095,3.602714286,150.335,2093.761099,170
9489.788377,3.615571429,151.096,2102.580423,171
9540.110658,3.628428571,151.857,2111.399747,172
9590.43294,3.641285714,152.618,2120.219071,173
9640.755222,3.654142857,153.379,2129.038395,174
9691.077503,3.667,154.14,2137.857719,175
9741.399785,3.679857143,154.901,2146.677043,176
9791.722066,3.692714286,155.662,2155.496367,177
9842.044348,3.705571429,156.423,2164.315691,178
9892.36663,3.718428571,157.184,2173.135015,179
9942.688911,3.731285714,157.945,2181.954339,180
9993.011193,3.744142857,158.706,2190.773662,181
10043.33347,3.757,159.467,2199.592986,182
10093.65576,3.769857143,160.228,2208.41231,183
10143.97804,3.782714286,160.989,2217.231634,184
10194.30032,3.795571429,161.75,2226.050958,185
10244.6226,3.808428571,162.511,2234.870282,186
10294.94488,3.821285714,163.272,2243.689606,187
10345.26716,3.834142857,164.033,2252.50893,188
10395.58945,3.847,164.794,2261.328254,189
10445.91173,3.859857143,165.555,2270.147578,190
10496.23401,3.872714286,166.316,2278.966902,191
10546.55629,3.885571429,167.077,2287.786226,192
10596.87857,3.898428571,167.838,2296.60555,193
10647.20085,3.911285714,168.599,2305.424873,194
10697.52314,3.924142857,169.36,2314.244197,195
10747.84542,3.937,170.121,2323.063521,196
10798.1677,3.949857143,170.882,2331.882845,197
10848.48998,3.962714286,171.643,2340.702169,198
10898.81226,3.975571429,172.404,2349.521493,199
10949.13454,3.988428571,173.165,2358.340817,200
